"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 05 07:55:39 IST 2023","Wed Apr 05 07:55:39 IST 2023","1","","Home","","","","Open URL and Assert Title",""
"failed","Wed Apr 05 07:51:19 IST 2023","Wed Apr 05 07:51:50 IST 2023","31451","","Input the details in contact tab and assert the Success message","","","","Open browser and clikc on Contact tab",""
"passed","Wed Apr 05 07:01:36 IST 2023","Wed Apr 05 07:01:36 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:37:24 IST 2023","Wed Apr 05 07:37:24 IST 2023","3","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:55:45 IST 2023","Wed Apr 05 07:55:49 IST 2023","3274","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:46:21 IST 2023","Wed Apr 05 07:46:21 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:36:53 IST 2023","Wed Apr 05 07:36:53 IST 2023","6","","Home","","","","Open URL and Assert Title",""
"passed","Wed Apr 05 07:37:21 IST 2023","Wed Apr 05 07:37:23 IST 2023","2907","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:18:13 IST 2023","Wed Apr 05 07:18:13 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:01:28 IST 2023","Wed Apr 05 07:01:28 IST 2023","4","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:40:13 IST 2023","Wed Apr 05 07:40:14 IST 2023","971","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:40:14 IST 2023","Wed Apr 05 07:40:16 IST 2023","1113","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:46:04 IST 2023","Wed Apr 05 07:46:04 IST 2023","2","","Home","","","","Open URL and Assert Title",""
"passed","Wed Apr 05 07:40:17 IST 2023","Wed Apr 05 07:40:22 IST 2023","4948","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:46:12 IST 2023","Wed Apr 05 07:46:15 IST 2023","3252","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:46:19 IST 2023","Wed Apr 05 07:46:21 IST 2023","2432","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:01:26 IST 2023","Wed Apr 05 07:01:27 IST 2023","995","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:37:13 IST 2023","Wed Apr 05 07:37:13 IST 2023","4","","Home","","","","Get STarted",""
"passed","Wed Apr 05 07:17:44 IST 2023","Wed Apr 05 07:17:44 IST 2023","28","","Home","","","","Open URL and Assert Title",""
"passed","Wed Apr 05 07:40:17 IST 2023","Wed Apr 05 07:40:17 IST 2023","2","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:45:50 IST 2023","Wed Apr 05 07:46:04 IST 2023","14048","","Home","","","","Open URL and Assert Title",""
"passed","Wed Apr 05 07:40:13 IST 2023","Wed Apr 05 07:40:13 IST 2023","2","","Home","","","","Go To About and Asert Title",""
"passed","Wed Apr 05 07:01:07 IST 2023","Wed Apr 05 07:01:19 IST 2023","12317","","Home","","","","Open URL and Assert Title",""
"passed","Wed Apr 05 07:55:57 IST 2023","Wed Apr 05 07:55:57 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:01:28 IST 2023","Wed Apr 05 07:01:29 IST 2023","1141","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:37:24 IST 2023","Wed Apr 05 07:37:24 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
"passed","Wed Apr 05 07:18:04 IST 2023","Wed Apr 05 07:18:04 IST 2023","3","","Home","","","","Go To About and Asert Title",""
"passed","Wed Apr 05 07:18:06 IST 2023","Wed Apr 05 07:18:07 IST 2023","1049","","Home","","","","Logo Check",""
"passed","Wed Apr 05 07:01:36 IST 2023","Wed Apr 05 07:01:36 IST 2023","2","","Home","","","","Find Heading element and assert the text",""
